0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Turkic_Probability,Prediction
Algeria_NumidoRoman_Berber.SG:R10760.SG,0.100164,0.148267,-0.035072,-0.048773,-0.000308,-0.015618,-0.000235,-0.000231,-0.008385,0.010934,0.005034,0.001499,-0.000595,-0.001239,-0.010722,0.000133,0.00665,0.00076,0.001634,-0.013256,-0.005366,-0.001978,-0.008258,-0.002289,0.001676,7.5354365e-08,Not Turkic
Algeria_NumidoRoman_Berber.SG:R10766.SG,0.083091,0.152329,-0.013576,-0.055556,0.016618,-0.027052,0.00705,-0.000462,0.022293,0.031162,-0.000487,0.006145,-0.007284,0.001514,0.005972,-0.005834,0.004172,-0.005068,-0.00176,0.002126,-0.004866,-0.009274,0.012818,0.004579,0.007185,6.3848073e-09,Not Turkic
Argentina_Aconcagua_Inca_500BP.SG:Aconcagua_noUDG.SG,0.054635,-0.317861,0.123696,0.099161,-0.115098,-0.013666,-0.307864,-0.374061,-0.016975,-0.012757,0.001137,-0.000599,-0.000595,0.022708,-0.005972,0.006895,0.000782,-0.004054,0.00993,-0.001876,-0.004742,0.010263,0.001479,0.00494,-0.00455,5.0630507e-07,Not Turkic
Argentina_ArroyoSeco2_7200BP:I7090,0.054635,-0.30669,0.119547,0.086564,-0.10802,-0.008088,-0.285773,-0.332525,-0.01084,-0.009112,0.000812,-0.007194,-0.000446,0.012937,-0.004614,0.01074,0.002738,-0.008615,0.003771,0.004127,-0.007487,0.012489,0.008381,-0.002651,0.001437,2.5842814e-06,Not Turkic
Argentina_ArroyoSeco2_7700BP:I0308,0.052359,-0.31583,0.118416,0.092701,-0.112944,-0.022869,-0.282953,-0.338755,-0.015953,-0.024966,0.00341,0.002398,0.001635,0.022983,-0.017779,0.001458,0.008605,0.002787,0.014958,0.001,-0.001373,0.012736,-0.003081,-0.005181,0.000958,2.6524e-07,Not Turkic
Argentina_ArroyoSeco2_7700BP:I0309,0.055773,-0.308721,0.124827,0.091086,-0.111405,-0.027052,-0.285303,-0.345216,-0.009408,-0.01221,0.004872,0.004796,0.005203,0.024772,-0.006107,0.01074,0.002868,0.001014,0.005279,0.005503,0.003244,-0.000989,-0.002218,-0.002048,0.003233,8.760995e-07,Not Turkic
Argentina_ArroyoSeco2_7700BP:I2230,0.059188,-0.31583,0.11653,0.103037,-0.108636,-0.018965,-0.282718,-0.346139,-0.01084,-0.016948,0.007957,-0.000899,-0.00669,0.017891,-0.008143,0.003447,0.009648,-0.003927,0.004399,0.005503,-0.001996,0.005935,-0.010969,-0.003856,-0.006586,4.6147807e-07,Not Turkic
Argentina_BeagleChannel_Yamana_100BP:I12941,0.056912,-0.325985,0.11917,0.096577,-0.118176,-0.019243,-0.291883,-0.347524,-0.011658,-0.014943,0.00406,-0.001199,0.001487,0.029589,-0.001493,0.002917,0.001043,-0.004941,-0.004022,0.008504,-0.001747,0.005935,-0.006902,0.001687,-0.003233,3.5736383e-07,Not Turkic
Argentina_BeagleChannel_Yamana_100BP:I12942,0.05805,-0.31583,0.114268,0.097546,-0.11356,-0.019801,-0.301049,-0.356754,-0.010431,-0.010205,0.006983,-0.002548,-0.000297,0.018029,-0.004072,0.001193,-0.005607,-0.014823,-0.007165,-0.003377,-0.009358,-0.008532,-0.003574,-0.006507,-0.011256,8.06129e-07,Not Turkic
Argentina_BeagleChannel_Yamana_100BP:I12943,0.053497,-0.323954,0.122564,0.097223,-0.111098,-0.024263,-0.293293,-0.350755,-0.011249,-0.019499,-0.004222,-0.001798,0.001189,0.016928,0.002579,0.003447,0.004172,-0.001014,-0.001634,0.001126,-0.004742,0.001237,-0.004807,-0.000361,-0.004071,1.2099117e-06,Not Turkic
Argentina_BeagleChannel_Yamana_100BP.SG:Yaghan890_noUDG.SG,0.042115,-0.317861,0.109742,0.102068,-0.114483,-0.020638,-0.267912,-0.33414,-0.013703,-0.015672,0.002273,0.015586,0.004608,0.015551,0.003122,0.011403,-0.001304,0.003801,-0.006034,0.011005,0.00262,0.007296,-0.005669,-0.004458,0.002275,6.618142e-07,Not Turkic
Argentina_BeagleChannel_Yamana_100BP.SG:Yaghan894_noUDG.SG,0.050082,-0.316845,0.118039,0.083334,-0.127101,-0.02008,-0.283423,-0.348447,-0.012885,-0.017677,0.005359,0.0003,-0.002081,0.024634,-0.010858,0.006099,0.005737,0.00266,0.0,0.005753,0.013351,0.001855,-0.011462,-0.003976,-0.009939,1.354201e-07,Not Turkic
Argentina_BeagleChannel_Yamana_100BP.SG:Yaghan895_noUDG.SG,0.052359,-0.319892,0.128598,0.092701,-0.116022,-0.020917,-0.290003,-0.349139,-0.011249,-0.014397,-0.003085,-0.005245,0.004311,0.021744,-0.006786,0.01127,0.007562,0.0019,-0.003394,-0.002626,-0.001747,0.006059,-0.000493,-0.003976,-0.001676,1.1844478e-06,Not Turkic
Argentina_BeagleChannel_Yamana_1500BP:I12355,0.053497,-0.316845,0.118039,0.094962,-0.116329,-0.026495,-0.292588,-0.341524,-0.012271,-0.016219,-0.003085,0.002847,0.000743,0.028901,-0.003529,0.010607,0.006258,0.000253,-0.004148,0.003752,0.004243,0.009521,-0.007148,0.007109,-0.004191,3.4299825e-07,Not Turkic
Argentina_LagunaChica_1600BP:I8351,0.053497,-0.323954,0.117662,0.090117,-0.108636,-0.015339,-0.291648,-0.349832,-0.019021,-0.015672,-0.014128,-0.005995,0.003717,0.026286,-0.007193,0.002784,0.007041,-0.004054,-0.000628,0.006128,-0.005865,0.013107,-0.003574,-0.00482,-0.006227,1.1154419e-06,Not Turkic
Argentina_LagunaChica_6800BP:I8348,0.039838,-0.307705,0.117662,0.086564,-0.12033,-0.03263,-0.282013,-0.34014,-0.021066,-0.012939,-0.005684,0.004496,0.009366,0.011973,0.000679,0.004641,0.000913,-0.008108,0.01257,0.002501,-0.000749,0.006677,-0.004807,-0.005422,-0.006107,2.039811e-06,Not Turkic
Argentina_LagunaChica_6800BP:I8349,0.045529,-0.314814,0.116153,0.095285,-0.115406,-0.014502,-0.275432,-0.336448,-0.010431,-0.02041,-0.001624,-0.010341,0.005649,0.024772,-0.014386,0.005701,0.007693,0.005068,0.009553,0.003877,-0.001497,0.001113,-0.001602,0.005061,-0.004191,1.3592302e-06,Not Turkic
Argentina_LagunaToro_2400BP:I12376,0.054635,-0.322938,0.125204,0.085595,-0.110482,-0.024542,-0.295173,-0.344755,-0.005113,-0.019135,-0.01023,-0.006145,0.012933,0.016652,-0.008143,-0.002254,0.006519,-0.003547,0.000754,0.006003,0.00287,0.004946,0.001602,0.005663,0.003113,5.348765e-07,Not Turkic
Argentina_MitrePeninsula_Haush_400BP:I12356,0.053497,-0.313799,0.119547,0.099161,-0.115406,-0.020638,-0.293528,-0.350755,-0.005931,-0.015126,0.0,-0.006894,0.005649,0.021469,-0.004072,0.005701,0.003912,-0.003294,0.00264,0.000375,-0.001497,0.001113,0.000739,-0.006868,-0.001078,1.0167485e-06,Not Turkic
Argentina_MitrePeninsula_Haush_400BP:I12357,0.052359,-0.317861,0.125204,0.092701,-0.124331,-0.027889,-0.296583,-0.346832,-0.022498,-0.015308,0.002111,0.006594,0.001041,0.022708,-0.000679,0.00769,0.006128,-0.001267,0.005279,0.005503,-0.007861,-0.000371,-0.002711,0.003856,-0.003113,1.2272058e-06,Not Turkic
Argentina_MitrePeninsula_Haush_400BP:I12358,0.050082,-0.323954,0.118039,0.096577,-0.121561,-0.025658,-0.289768,-0.346139,-0.012067,-0.014214,-0.006008,0.006744,0.005054,0.022708,-0.002714,0.003978,0.00691,-0.000887,-0.000377,0.004877,-0.005989,0.001978,-0.007025,-0.001807,0.002036,9.307007e-07,Not Turkic
Argentina_MitrePeninsula_Haush_400BP:I12359,0.05122,-0.322938,0.121056,0.091409,-0.115714,-0.022032,-0.292118,-0.353754,-0.01493,-0.01057,0.001137,0.000599,0.0,0.018579,-0.011401,0.002917,0.009388,-0.004814,0.004651,0.005253,-0.002995,0.000742,-0.004807,-0.004699,-0.000239,4.9488887e-07,Not Turkic
Argentina_MitrePeninsula_Haush_400BP:I12360,0.056912,-0.335125,0.119924,0.108852,-0.122484,-0.016455,-0.290943,-0.337601,-0.014317,-0.013668,0.006008,0.005245,-0.002825,0.041149,0.00665,0.013789,0.019818,-0.011909,0.001257,0.003001,-0.010606,0.008532,0.002342,0.006025,-0.002155,2.377426e-07,Not Turkic
Argentina_MitrePeninsula_Haush_400BP:I12361,0.05805,-0.313799,0.140289,0.096254,-0.1231,-0.018128,-0.293528,-0.344524,-0.020657,-0.030069,0.005196,-0.002098,-0.014717,0.008945,0.008822,0.00358,0.01004,-0.00076,-0.004148,-0.000375,0.0,-0.00272,0.007025,0.002892,0.006945,1.4913252e-07,Not Turkic
Argentina_NorthTierradelFiego_Selknam_100BP.SG:MA577_noUDG.SG,0.055773,-0.307705,0.115022,0.104006,-0.111405,-0.014502,-0.294703,-0.349601,-0.013499,-0.015308,0.005196,-0.003147,0.001933,0.024222,-0.00475,0.006895,0.008605,-0.00038,-0.006913,-0.001251,-0.002496,0.003957,-0.006902,0.000482,-0.006227,4.2841398e-07,Not Turkic
Argentina_NorthTierradelFuego_LaArcillosa2_5800BP:I12362,0.055773,-0.316845,0.11653,0.095931,-0.112636,-0.01757,-0.280838,-0.342447,-0.006136,-0.019499,-0.000487,-0.004796,-0.003717,0.018992,-0.0095,0.005171,0.002347,0.006588,0.002514,0.006003,-0.005989,-0.001237,0.000986,-0.015062,-0.000479,2.4881565e-06,Not Turkic
Argentina_NorthTierradelFuego_Selknam_500BP:I12354,0.052359,-0.317861,0.119924,0.096577,-0.11756,-0.020917,-0.297523,-0.354908,-0.020043,-0.014761,-0.008769,-0.00045,0.001189,0.024359,-0.010993,0.006364,0.01017,-0.002534,-0.009804,-0.000875,0.00025,-0.002349,-0.003204,-0.002048,-0.002634,3.2368123e-07,Not Turkic
Argentina_NorthTierradelFuego_Selknam_500BP:I12363,0.054635,-0.320907,0.112382,0.097546,-0.115098,-0.015897,-0.294703,-0.357447,-0.01943,-0.012028,-0.005846,0.001499,0.001933,0.015827,-0.009365,0.007823,0.004694,-0.00038,-0.00088,-0.001126,-0.005615,0.0,0.000246,0.00494,-0.007185,2.0372972e-06,Not Turkic
Argentina_NorthTierradelFuego_Selknam_500BP:I12364,0.063741,-0.317861,0.115776,0.095608,-0.12587,-0.021475,-0.278958,-0.336217,-0.013294,-0.006743,-0.000487,0.008243,-0.005203,0.016102,-0.00285,0.000796,0.010952,0.003547,-0.005405,0.006628,0.006239,-0.001237,0.001725,-0.003735,0.003113,7.331789e-08,Not Turkic
Argentina_NorthTierradelFuego_Selknam_500BP:I12366,0.056912,-0.318876,0.117662,0.097546,-0.116329,-0.019522,-0.296348,-0.353754,-0.011044,-0.023144,0.002111,-0.002997,0.001338,0.021607,-0.004479,0.005436,0.009779,0.00038,-0.001508,-0.002626,-0.002496,0.002473,-0.005423,-0.000602,0.007065,4.465341e-07,Not Turkic
Argentina_NorthTierradelFuego_Selknam_500BP:I12367,0.059188,-0.31583,0.115022,0.0969,-0.120638,-0.026216,-0.281543,-0.341524,-0.019634,-0.012392,-0.01023,-0.000749,-0.0055,0.030552,-0.00285,0.00305,0.002738,0.002154,-0.007165,0.001501,-0.003743,0.005193,-0.010969,0.002048,-0.005987,5.6085037e-07,Not Turkic
Armenia_Achaemenid_Hellenistic:I16119,0.097888,0.122879,-0.05242,-0.046189,-0.039084,-0.013108,0.00893,-0.008307,-0.032724,-0.015672,0.000162,0.007194,-0.006244,0.006055,0.003393,-0.004508,-0.007171,-0.002914,0.0,-0.010005,0.001248,0.00507,-0.000123,-0.003976,-0.008981,2.8209834e-07,Not Turkic
